filename,filepath,modality,vocal_channel,emotion_id,emotion_label,intensity_id,intensity_label,statement,repetition,actor_id,gender,stress_label
03-01-01-01-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-01-01-01-01-01.wav,3,1,1,neutral,1,normal,1,1,1,male,non_stress
03-01-01-01-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-01-01-01-02-01.wav,3,1,1,neutral,1,normal,1,2,1,male,non_stress
03-01-01-01-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-01-01-02-01-01.wav,3,1,1,neutral,1,normal,2,1,1,male,non_stress
03-01-01-01-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-01-01-02-02-01.wav,3,1,1,neutral,1,normal,2,2,1,male,non_stress
03-01-02-01-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-01-01-01-01.wav,3,1,2,calm,1,normal,1,1,1,male,non_stress
03-01-02-01-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-01-01-02-01.wav,3,1,2,calm,1,normal,1,2,1,male,non_stress
03-01-02-01-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-01-02-01-01.wav,3,1,2,calm,1,normal,2,1,1,male,non_stress
03-01-02-01-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-01-02-02-01.wav,3,1,2,calm,1,normal,2,2,1,male,non_stress
03-01-02-02-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-02-01-01-01.wav,3,1,2,calm,2,strong,1,1,1,male,non_stress
03-01-02-02-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-02-01-02-01.wav,3,1,2,calm,2,strong,1,2,1,male,non_stress
03-01-02-02-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-02-02-01-01.wav,3,1,2,calm,2,strong,2,1,1,male,non_stress
03-01-02-02-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-02-02-02-02-01.wav,3,1,2,calm,2,strong,2,2,1,male,non_stress
03-01-03-01-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-01-01-01-01.wav,3,1,3,happy,1,normal,1,1,1,male,non_stress
03-01-03-01-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-01-01-02-01.wav,3,1,3,happy,1,normal,1,2,1,male,non_stress
03-01-03-01-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-01-02-01-01.wav,3,1,3,happy,1,normal,2,1,1,male,non_stress
03-01-03-01-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-01-02-02-01.wav,3,1,3,happy,1,normal,2,2,1,male,non_stress
03-01-03-02-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-02-01-01-01.wav,3,1,3,happy,2,strong,1,1,1,male,non_stress
03-01-03-02-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-02-01-02-01.wav,3,1,3,happy,2,strong,1,2,1,male,non_stress
03-01-03-02-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-02-02-01-01.wav,3,1,3,happy,2,strong,2,1,1,male,non_stress
03-01-03-02-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-03-02-02-02-01.wav,3,1,3,happy,2,strong,2,2,1,male,non_stress
03-01-04-01-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-01-01-01-01.wav,3,1,4,sad,1,normal,1,1,1,male,moderate_stress
03-01-04-01-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-01-01-02-01.wav,3,1,4,sad,1,normal,1,2,1,male,moderate_stress
03-01-04-01-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-01-02-01-01.wav,3,1,4,sad,1,normal,2,1,1,male,moderate_stress
03-01-04-01-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-01-02-02-01.wav,3,1,4,sad,1,normal,2,2,1,male,moderate_stress
03-01-04-02-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-02-01-01-01.wav,3,1,4,sad,2,strong,1,1,1,male,moderate_stress
03-01-04-02-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-02-01-02-01.wav,3,1,4,sad,2,strong,1,2,1,male,moderate_stress
03-01-04-02-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-02-02-01-01.wav,3,1,4,sad,2,strong,2,1,1,male,moderate_stress
03-01-04-02-02-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-04-02-02-02-01.wav,3,1,4,sad,2,strong,2,2,1,male,moderate_stress
03-01-05-01-01-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-05-01-01-01-01.wav,3,1,5,angry,1,normal,1,1,1,male,moderate_stress
03-01-05-01-01-02-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-05-01-01-02-01.wav,3,1,5,angry,1,normal,1,2,1,male,moderate_stress
03-01-05-01-02-01-01.wav,D:/stress/stress-detection/src/audio\Actor_01\03-01-05-01-02-01-01.wav,3,1,5,angry,1,normal,2,1,1,male,moderate_stress
